User,ID,Modelo,Local,Watt-dia,Watt-Mes,Watt-Atual,Voltagem-Atual,Corrente-Atual,Valor-Conta,Watt-Jun-2024,Watt-Jul-2024,Watt-Ago-2024,Watt-Set-2024,Watt-Out-2024,Watt-Nov-2024,Valor-Conta-Jun-2024,Valor-Conta-Jul-2024,Valor-Conta-Ago-2024,Valor-Conta-Set-2024,Valor-Conta-Out-2024,Valor-Conta-Nov-2024
user019@example.com,84,2,Sala,4.53,69.65,0.15,232.7047621043183,0.0,51.94,32.3,43.07,36.04,32.91,28.61,25.62,24.09,32.12,26.88,24.54,21.33,19.11
user019@example.com,85,1,Escritorio,1.54,31.96,0.13,224.02136411384527,0.0,23.83,28.69,34.69,48.28,34.34,32.99,45.09,21.39,25.87,36.0,25.61,24.6,33.62
user019@example.com,86,1,Quarto,1.83,31.32,0.13,225.39193768340274,0.0,23.36,37.25,48.84,28.05,28.61,38.8,28.76,27.78,36.42,20.92,21.33,28.93,21.45
user020@example.com,87,1,Quarto,2.44,69.16,0.18,237.50602665770398,0.0,51.57,35.52,30.35,38.94,29.16,50.57,29.12,26.49,22.63,29.04,21.74,37.71,21.72
user020@example.com,88,2,Area de Servico,1.65,59.48,0.11,230.92556201850334,0.0,44.35,49.48,37.95,28.72,31.97,36.92,40.76,36.9,28.3,21.42,23.84,27.53,30.4
user020@example.com,89,1,Quarto,4.1,58.59,0.12,229.13244190461893,0.0,43.69,49.93,35.71,49.33,47.21,43.55,45.51,37.23,26.63,36.79,35.2,32.48,33.94
user020@example.com,90,1,Garagem,4.66,45.17,0.17,224.87650194366427,0.0,33.68,37.34,36.0,31.38,38.45,42.09,37.79,27.84,26.85,23.4,28.67,31.39,28.18
user021@example.com,91,1,Banheiro,4.71,64.77,0.08,224.68304175847206,0.0,48.3,26.17,27.84,48.49,39.25,35.31,37.65,19.52,20.76,36.16,29.27,26.33,28.08
user021@example.com,92,2,Sala,4.31,37.69,0.17,224.6284913761661,0.0,28.11,30.53,32.61,26.61,48.68,39.57,28.28,22.77,24.32,19.84,36.3,29.51,21.09
user021@example.com,93,1,Garagem,3.74,30.71,0.13,228.4633097716241,0.0,22.9,44.3,49.09,39.55,44.65,49.99,47.8,33.03,36.61,29.49,33.3,37.28,35.64
user021@example.com,94,1,Area de Servico,2.65,69.79,0.07,233.108379855935,0.0,52.04,34.1,42.4,38.7,28.22,49.72,31.61,25.43,31.62,28.86,21.04,37.08,23.57
user021@example.com,95,2,Banheiro,2.77,44.97,0.19,236.77588981667816,0.0,33.53,46.61,33.46,48.73,46.82,47.93,50.36,34.76,24.95,36.34,34.91,35.74,37.55
user021@example.com,96,1,Banheiro,3.41,63.05,0.07,222.7740678242356,0.0,47.02,44.11,27.84,48.49,45.13,34.75,27.39,32.89,20.76,36.16,33.65,25.91,20.42
user022@example.com,97,1,Area de Servico,4.0,37.21,0.06,230.61360237693663,0.0,27.75,31.19,28.88,48.02,46.65,41.15,40.13,23.26,21.54,35.81,34.79,30.69,29.93
user022@example.com,98,1,Cozinha,3.3,31.42,0.11,224.9026714860496,0.0,23.43,28.87,36.92,38.47,30.41,28.81,44.4,21.53,27.53,28.69,22.68,21.48,33.11
user022@example.com,99,2,Garagem,2.0,34.31,0.11,231.09477528919442,0.0,25.59,40.46,28.83,48.78,41.72,37.7,38.37,30.17,21.5,36.38,31.11,28.11,28.61
user022@example.com,100,1,Quarto,4.93,63.14,0.12,238.29308487990468,0.0,47.08,43.15,40.57,41.54,35.39,47.05,27.36,32.18,30.25,30.98,26.39,35.09,20.4
user022@example.com,101,1,Sala,1.9,42.21,0.13,223.11414187166568,0.0,31.48,47.88,47.52,47.54,40.57,33.1,26.14,35.7,35.44,35.45,30.25,24.68,19.49
user022@example.com,102,2,Cozinha,0.78,31.49,0.15,238.37495893661315,0.0,23.48,42.07,38.68,31.12,50.24,26.23,38.78,31.37,28.84,23.21,37.46,19.56,28.92
user023@example.com,103,1,Area de Servico,2.56,70.15,0.17,224.90343586185963,0.0,52.31,28.95,32.56,29.92,42.1,40.44,36.78,21.59,24.28,22.31,31.39,30.16,27.43
user023@example.com,104,1,Banheiro,1.6,53.51,0.19,233.85102576315185,0.0,39.9,36.08,48.18,29.38,47.27,50.09,26.6,26.91,35.93,21.91,35.25,37.35,19.84
user023@example.com,105,1,Cozinha,4.65,60.06,0.09,232.04054649221666,0.0,44.79,48.0,47.56,31.59,33.26,25.77,32.69,35.79,35.47,23.56,24.8,19.22,24.38
user023@example.com,106,2,Banheiro,3.96,31.63,0.1,223.29112310095127,0.0,23.59,36.61,43.22,30.44,25.93,49.36,29.02,27.3,32.23,22.7,19.34,36.81,21.64
user023@example.com,107,2,Quarto,4.8,52.47,0.14,224.03470648276004,0.0,39.13,47.87,28.53,50.33,41.36,46.29,50.54,35.7,21.28,37.53,30.84,34.52,37.69
user023@example.com,108,2,Escritorio,1.36,73.3,0.08,222.50227832418977,0.0,54.66,33.36,31.92,36.27,49.55,29.29,48.94,24.88,23.8,27.05,36.95,21.84,36.5
user024@example.com,109,2,Garagem,2.37,32.05,0.2,227.02015336174867,0.0,23.9,28.56,36.4,48.16,33.78,38.74,46.22,21.3,27.14,35.91,25.19,28.89,34.47
user024@example.com,110,2,Garagem,1.99,60.51,0.17,224.093802048235,0.0,45.12,48.86,43.11,28.98,30.9,26.54,48.62,36.44,32.15,21.61,23.04,19.79,36.26
user024@example.com,111,1,Area de Servico,1.77,52.82,0.12,223.56869948524027,0.0,39.39,37.24,29.57,36.41,36.8,41.2,33.99,27.77,22.05,27.15,27.44,30.72,25.35
user024@example.com,112,2,Cozinha,1.46,62.59,0.2,221.01217326365395,0.0,46.67,26.01,35.47,34.15,42.09,32.85,40.03,19.4,26.45,25.47,31.39,24.5,29.85
user025@example.com,113,2,Escritorio,3.3,65.43,0.11,236.58621830471884,0.0,48.79,50.45,28.65,38.77,38.78,44.36,27.92,37.62,21.36,28.91,28.92,33.08,20.82
user025@example.com,114,1,Cozinha,2.15,50.04,0.18,238.95578453802224,0.0,37.32,32.03,36.52,41.11,49.87,41.83,25.63,23.89,27.23,30.66,37.19,31.19,19.11
user025@example.com,115,2,Garagem,4.32,57.73,0.18,238.89451431231655,0.0,43.05,50.07,35.86,31.93,28.16,41.73,34.26,37.34,26.74,23.81,21.0,31.12,25.55
user025@example.com,116,2,Sala,4.22,72.99,0.12,222.28850801591486,0.0,54.43,35.96,42.54,49.96,41.61,25.52,28.94,26.82,31.72,37.26,31.03,19.03,21.58
user025@example.com,117,1,Quarto,2.11,34.41,0.19,235.89457333411372,0.0,25.66,47.84,34.52,44.17,40.68,28.48,30.85,35.67,25.74,32.94,30.34,21.24,23.01
user025@example.com,118,1,Banheiro,2.11,74.15,0.16,233.69072523032415,0.0,55.29,33.91,36.29,40.3,42.55,28.26,28.52,25.29,27.06,30.05,31.73,21.07,21.27
user026@example.com,119,2,Area de Servico,0.69,40.99,0.15,230.10318527116175,0.0,30.57,25.43,31.94,42.44,32.08,48.64,31.29,18.96,23.82,31.65,23.92,36.27,23.33
user026@example.com,120,1,Area de Servico,4.71,64.4,0.13,220.1373904896883,0.0,48.02,36.79,48.14,48.54,28.62,30.06,26.5,27.43,35.9,36.2,21.34,22.42,19.76
user026@example.com,121,2,Cozinha,4.55,33.94,0.1,239.20499483710057,0.0,25.31,33.72,38.41,48.89,47.94,39.09,36.94,25.15,28.64,36.46,35.75,29.15,27.55
user026@example.com,122,1,Banheiro,2.74,32.68,0.06,238.8344094891409,0.0,24.37,31.33,26.62,36.21,35.95,48.76,46.51,23.36,19.85,27.0,26.81,36.36,34.68
user027@example.com,123,2,Cozinha,3.09,45.13,0.09,220.44645749459497,0.0,33.65,43.01,36.22,25.72,29.82,26.74,42.0,32.07,27.01,19.18,22.24,19.94,31.32
user027@example.com,124,2,Sala,1.45,40.61,0.08,238.85598651425315,0.0,30.28,48.75,48.9,33.8,43.16,38.17,36.84,36.35,36.47,25.2,32.18,28.46,27.47
user027@example.com,125,1,Quarto,4.53,52.43,0.12,233.31376447565486,0.0,39.1,26.36,35.88,46.41,33.49,49.16,25.78,19.66,26.76,34.61,24.97,36.66,19.22
user027@example.com,126,2,Area de Servico,3.55,73.22,0.06,227.1020915272778,0.0,54.6,39.74,33.23,48.83,37.63,41.16,49.49,29.63,24.78,36.41,28.06,30.69,36.91
user028@example.com,127,2,Area de Servico,3.46,65.25,0.18,229.15129473399293,0.0,48.66,31.91,29.75,26.35,43.02,49.04,34.48,23.8,22.18,19.65,32.08,36.57,25.71
user028@example.com,128,2,Garagem,1.28,57.62,0.08,225.01156914144767,0.0,42.97,27.67,48.3,35.18,35.94,50.43,25.97,20.63,36.02,26.23,26.8,37.61,19.37
user028@example.com,129,1,Banheiro,2.5,40.69,0.08,220.75803563776574,0.0,30.34,49.81,50.4,35.85,28.68,28.25,42.22,37.14,37.58,26.73,21.39,21.07,31.48
user029@example.com,130,2,Cozinha,2.62,50.78,0.17,229.4316926693914,0.0,37.87,29.68,44.67,47.67,41.16,30.29,32.09,22.13,33.31,35.55,30.69,22.59,23.93
user029@example.com,131,1,Escritorio,4.69,41.47,0.09,234.99932774576146,0.0,30.92,32.93,35.18,39.96,41.83,38.85,40.6,24.56,26.23,29.8,31.19,28.97,30.28
user029@example.com,132,2,Escritorio,4.02,50.04,0.16,237.47153671775072,0.0,37.32,31.43,38.5,32.23,26.08,46.36,40.94,23.44,28.71,24.03,19.45,34.57,30.53
user029@example.com,133,2,Banheiro,3.62,57.24,0.15,229.62639347183617,0.0,42.68,50.48,32.81,26.9,36.08,39.52,29.13,37.64,24.47,20.06,26.91,29.47,21.72
user029@example.com,134,2,Escritorio,4.04,63.38,0.16,236.26329389398535,0.0,47.26,45.99,34.57,36.28,50.02,26.7,47.45,34.3,25.78,27.05,37.3,19.91,35.38
user030@example.com,135,2,Banheiro,1.83,45.3,0.08,220.23059713204248,0.0,33.78,43.14,35.85,31.0,39.36,29.79,34.81,32.17,26.73,23.12,29.35,22.21,25.96
user030@example.com,136,2,Area de Servico,4.96,52.03,0.14,229.82879473862863,0.0,38.8,41.54,33.68,26.29,44.6,38.36,41.0,30.98,25.12,19.6,33.26,28.61,30.57
user030@example.com,137,2,Area de Servico,0.65,65.72,0.06,228.92035064109308,0.0,49.01,38.25,27.48,34.29,29.23,34.19,48.79,28.52,20.49,25.57,21.8,25.5,36.38
user030@example.com,138,2,Sala,3.42,30.73,0.18,235.87976769512045,0.0,22.92,32.82,44.01,38.06,45.4,49.56,42.13,24.47,32.82,28.38,33.86,36.96,31.42
user030@example.com,139,1,Area de Servico,2.77,31.02,0.12,220.75923301258482,0.0,23.13,39.98,39.87,49.34,34.79,44.13,37.51,29.81,29.73,36.79,25.94,32.91,27.97
user031@example.com,140,1,Cozinha,2.12,72.12,0.1,226.54810013779502,0.0,53.78,31.52,37.63,49.48,31.41,40.05,27.05,23.5,28.06,36.9,23.42,29.87,20.17
user031@example.com,141,2,Cozinha,2.48,36.74,0.18,232.24096251499122,0.0,27.4,42.07,29.25,27.43,39.95,47.38,44.87,31.37,21.81,20.45,29.79,35.33,33.46
user031@example.com,142,1,Area de Servico,3.61,55.62,0.13,226.88163703780273,0.0,41.48,31.43,33.96,38.03,32.78,40.74,30.18,23.44,25.32,28.36,24.44,30.38,22.51
user032@example.com,143,2,Cozinha,1.59,51.99,0.08,221.03225965962284,0.0,38.77,41.49,35.7,26.98,37.13,37.97,43.06,30.94,26.62,20.12,27.69,28.31,32.11
user032@example.com,144,2,Banheiro,2.66,72.8,0.11,237.73623591213865,0.0,54.29,34.71,31.01,28.37,27.21,33.69,46.69,25.88,23.12,21.16,20.29,25.12,34.82
user032@example.com,145,1,Escritorio,1.23,52.52,0.17,238.9193401294541,0.0,39.16,46.23,33.28,26.47,27.92,32.78,45.04,34.47,24.82,19.74,20.82,24.44,33.59
